100, initial, 0
100, n002-init, 5896339498164113/4503599627370496
100, n002-end, 10457405603549027/4503599627370496
100, n004-init, 4983888354447431/1125899906842624
99, initial, 436440013268491/70368744177664
99, n002-init, 31381440338171839/4503599627370496
99, n002-end, 17406866760466429/2251799813685248
98, initial, 4446994913456043/562949953421312
98, n002-init, 40100717170128277/4503599627370496
99, n004-init, 43906439510967153/4503599627370496
98, n002-end, 2925830990148251/281474976710656
97, initial, 877147437823907/70368744177664
96, initial, 7175269557044521/562949953421312
98, n004-init, 58464749011027253/4503599627370496
97, n002-init, 30618642327618437/2251799813685248
96, n002-init, 15809913825936441/1125899906842624
97, n002-end, 131288168467095107/9007199254740992
96, n002-end, 8679160923793455/562949953421312
97, n004-init, 152776611538623053/9007199254740992
96, n004-init, 156325695576983855/9007199254740992
95, initial, 1372797702455915/70368744177664
95, n002-init, 90619716604128467/4503599627370496
100, n004-end, 23068768198097763/1125899906842624
95, n002-end, 93067233271193561/4503599627370496
94, initial, 5902037982960227/281474976710656
96, n004-end, 196676777302320383/9007199254740992
94, n002-init, 3109325528206701/140737488355328
99, n004-end, 101045094171293665/4503599627370496
95, n004-init, 51071793271494093/2251799813685248
100, final, 102387537456316841/4503599627370496
94, n002-end, 105533033749212719/4503599627370496
96, final, 215502001965936909/9007199254740992
94, n004-init, 226876107271553605/9007199254740992
99, n004-init, 14557773751718951/562949953421312
93, initial, 7283183904392789/281474976710656
92, initial, 14761332734960565/562949953421312
98, n004-end, 118328396697886829/4503599627370496
93, n002-init, 241864743412626443/9007199254740992
91, initial, 15205528608601467/562949953421312
93, n002-end, 243698346129954491/9007199254740992
92, n002-init, 61735909363276519/2251799813685248
91, n002-init, 250811170310298893/9007199254740992
92, n002-end, 127090760964776807/4503599627370496
91, n002-end, 255397096572235545/9007199254740992
90, initial, 998560726051277/35184372088832
93, n004-init, 32268931352920765/1125899906842624
98, n004-init, 131237552340885559/4503599627370496
90, n002-init, 263075355038528701/9007199254740992
92, n004-init, 135027403959161389/4503599627370496
90, n002-end, 275309574695147755/9007199254740992
91, n004-init, 277003883568949123/9007199254740992
89, initial, 17686857307013457/562949953421312
88, initial, 17784414088198019/562949953421312
93, n004-end, 18061798025492189/562949953421312
89, n002-init, 36386951536646609/1125899906842624
88, n002-init, 145998583752420633/4503599627370496
90, n004-init, 293951542589742547/9007199254740992
87, initial, 9292639635360143/281474976710656
89, n002-end, 149546952223425463/4503599627370496
86, initial, 18749866168975819/562949953421312
88, n002-end, 151537831783740069/4503599627370496
87, n002-init, 38326636932468537/1125899906842624
86, n002-init, 155111803585998607/4503599627370496
93, n007-init, 155849022067569451/4503599627370496
86, n002-end, 312594882905619889/9007199254740992
93, n007-end, 158101141754114605/4503599627370496
89, n004-init, 79442719143241117/2251799813685248
87, n002-end, 40069449342469507/1125899906842624
88, n004-init, 40317958518258985/1125899906842624
93, n014-init, 323612185553637105/9007199254740992
90, n004-end, 328682402196098339/9007199254740992
86, n004-init, 331188823155626039/9007199254740992
93, n014-end, 332628351859990143/9007199254740992
87, n004-init, 21394325804181653/562949953421312
85, initial, 10803873143845569/281474976710656
84, initial, 5436323709766473/140737488355328
90, n007-init, 351121181353374665/9007199254740992
93, n017-init, 354444330862616919/9007199254740992
84, n002-init, 354932946457816277/9007199254740992
85, n002-init, 178442806458717913/4503599627370496
84, n002-end, 361970304351877901/9007199254740992
85, n002-end, 184109576936769023/4503599627370496
90, n007-end, 376720037757570181/9007199254740992
95, n004-end, 94243727141432269/2251799813685248
84, n004-init, 47403679690935255/1125899906842624
83, initial, 11959715915427833/281474976710656
93, n017-end, 384823330271047747/9007199254740992
90, n014-init, 385727237012477397/9007199254740992
82, initial, 6044786308154683/140737488355328
85, n004-init, 387308755972924651/9007199254740992
83, n002-init, 48745308376600969/1125899906842624
83, n002-end, 48745308376600969/1125899906842624
86, n004-end, 390000790257502063/9007199254740992
81, initial, 24451693604486765/562949953421312
93, n009-init, 394060506755487137/9007199254740992
90, n014-end, 394880353655488995/9007199254740992
81, n002-init, 198719901437568123/4503599627370496
82, n002-init, 198829187112257529/4503599627370496
95, n004-init, 25238577776883877/562949953421312
80, initial, 25301773485453489/562949953421312
82, n002-end, 101261662676725063/2251799813685248
93, n020-init, 405319761124189087/9007199254740992
79, initial, 12666874237417929/281474976710656
93, n021-init, 406875840578003089/9007199254740992
83, n004-init, 206470350180092437/4503599627370496
80, n002-init, 207003753006671771/4503599627370496
79, n002-init, 51762053778979879/1125899906842624
90, n017-init, 414697455670261347/9007199254740992
81, n002-end, 51884213419406385/1125899906842624
87, n004-end, 25982660658541125/562949953421312
97, n004-end, 417034326873841645/9007199254740992
80, n002-end, 417113890295972937/9007199254740992
86, n004-init, 417698084477243773/9007199254740992
82, n004-init, 211731581286404747/4503599627370496
93, n021-end, 423663747505551365/9007199254740992
93, n020-end, 425332831258822503/9007199254740992
79, n002-end, 26809011225931183/562949953421312
81, n004-init, 107765752790174683/2251799813685248
90, n017-end, 434391368306272507/9007199254740992
80, n004-init, 436787464325945015/9007199254740992
97, n004-init, 441744116859550737/9007199254740992
87, n004-init, 443128186220744173/9007199254740992
90, n009-init, 443543359254064651/9007199254740992
91, n004-end, 443915752526599171/9007199254740992
79, n004-init, 28020855393930785/562949953421312
90, n020-init, 224801031990809713/4503599627370496
92, n004-end, 225242926226695597/4503599627370496
93, n027-init, 452207379008642837/9007199254740992
90, n021-init, 452944384423494139/9007199254740992
90, n020-end, 228446266917526883/4503599627370496
94, n004-end, 460085196127747077/9007199254740992
91, n004-init, 469656171195294819/9007199254740992
93, n009-end, 471631515122322017/9007199254740992
98, n004-end, 235962051311941655/4503599627370496
90, n009-end, 473768129891676719/9007199254740992
92, n004-init, 29752038213732405/562949953421312
78, initial, 15156716679044287/281474976710656
94, n004-init, 485095830290466377/9007199254740992
99, n004-end, 30484438581940795/562949953421312
98, final, 488674793061777611/9007199254740992
78, n002-init, 247993293924499429/4503599627370496
78, n002-end, 3929047766137235/70368744177664
99, n007-init, 506410941232092695/9007199254740992
93, n027-end, 509563422422982525/9007199254740992
95, n004-end, 16044842169760389/281474976710656
78, n004-init, 517636892291929341/9007199254740992
77, initial, 8121892587469587/140737488355328
90, n021-end, 523519657368805947/9007199254740992
93, final, 262408087447741683/4503599627370496
85, n004-end, 526129242110866123/9007199254740992
77, n002-init, 132671980110534115/2251799813685248
89, n004-end, 132712691651663829/2251799813685248
82, n004-end, 265705061092619003/4503599627370496
97, n004-end, 531701988192403089/9007199254740992
95, n007-init, 133151138643944777/2251799813685248
87, n004-end, 536101667864083805/9007199254740992
86, n004-end, 540017831940462477/9007199254740992
88, n004-end, 67758830148791085/1125899906842624
77, n002-end, 33900937411750359/562949953421312
85, n007-init, 545066986235469405/9007199254740992
90, n028-init, 274029931617882035/4503599627370496
99, n007-end, 548327600803628631/9007199254740992
82, n004-init, 275404360380137235/4503599627370496
83, n004-end, 275901264771352805/4503599627370496
95, n007-end, 138690005179195875/2251799813685248
87, n004-init, 558784384828184649/9007199254740992
89, n004-init, 69976284211971579/1125899906842624
97, n004-init, 560259712547803609/9007199254740992
99, n014-init, 560656770195797789/9007199254740992
77, n004-init, 561465906696340689/9007199254740992
88, n007-init, 282442107457812839/4503599627370496
86, n004-init, 283615025727198019/4503599627370496
99, n014-end, 569843500229111173/9007199254740992
95, n014-init, 569843500229111173/9007199254740992
84, n004-end, 71571458961284231/1125899906842624
92, n004-end, 35871889675373625/562949953421312
83, n004-init, 578618356210362805/9007199254740992
95, n014-end, 578997259603592243/9007199254740992
76, initial, 18392403494178633/281474976710656
84, final, 590546688258147377/9007199254740992
99, n017-init, 590984715689865305/9007199254740992
85, n007-end, 591782615289211149/9007199254740992
76, n002-init, 595802067011030965/9007199254740992
88, n007-end, 298273934753366723/4503599627370496
75, initial, 18703931700070805/281474976710656
74, initial, 18724571700197037/281474976710656
92, n004-init, 299976471855216879/4503599627370496
76, n002-end, 604172311887335857/9007199254740992
82, n004-end, 303438727628563291/4503599627370496
75, n002-init, 152197872497458955/2251799813685248
99, n017-end, 610295305219079997/9007199254740992
95, n016-init, 610295305219079997/9007199254740992
74, n002-init, 76387096044843765/1125899906842624
75, n002-end, 613161691264905387/9007199254740992
86, n004-end, 307087066409112667/4503599627370496
99, n009-init, 617125741675209577/9007199254740992
89, n004-end, 38629234850720425/562949953421312
74, n002-end, 310173914424593255/4503599627370496
76, n004-init, 621045688462717863/9007199254740992
79, n004-end, 39022986028110415/562949953421312
75, n004-init, 625934069249279847/9007199254740992
99, n020-init, 628466547138879385/9007199254740992
99, n009-end, 630776189577713519/9007199254740992
99, n021-init, 631965358781112487/9007199254740992
95, n016-end, 634557000250046285/9007199254740992
85, n014-init, 634557000250046285/9007199254740992
74, n004-init, 635203876469859093/9007199254740992
82, n004-init, 318005682041832787/4503599627370496
99, n020-end, 639245512098053137/9007199254740992
86, n004-init, 640147933489025451/9007199254740992
79, final, 642592479363125839/9007199254740992
85, n014-end, 642922482769606859/9007199254740992
88, n014-init, 642922482769606859/9007199254740992
78, n004-end, 646116753397457965/9007199254740992
89, n004-init, 647197730452063353/9007199254740992
73, initial, 40598151948441207/562949953421312
92, n004-end, 325460946030622031/4503599627370496
95, n011-init, 652116797385564851/9007199254740992
88, n014-end, 652844499827475415/9007199254740992
72, initial, 41004567913108925/562949953421312
73, n002-init, 329755356709857319/4503599627370496
71, initial, 41221159432783845/562949953421312
85, n017-init, 662019670848938195/9007199254740992
91, n004-end, 662862216505354947/9007199254740992
71, n002-init, 83158416933908329/1125899906842624
72, n002-init, 83180945776326489/1125899906842624
72, n002-end, 10416486676665619/140737488355328
73, n002-end, 166859516124069705/2251799813685248
92, final, 167349964464669651/2251799813685248
83, n004-end, 673899752518744725/9007199254740992
78, n004-init, 677311158462904995/9007199254740992
71, n002-end, 10590237278040613/140737488355328
99, n021-end, 679490419983015151/9007199254740992
91, n007-init, 339898052819081849/4503599627370496
72, n004-init, 340619038318831391/4503599627370496
81, n004-end, 170547665481575939/2251799813685248
85, n017-end, 682758179338270463/9007199254740992
88, n017-init, 682758179338270463/9007199254740992
70, initial, 42691175422995721/562949953421312
73, n004-init, 21416988466233189/281474976710656
70, n002-init, 10720163731319919/140737488355328
80, n004-end, 686966657010025815/9007199254740992
85, n009-init, 687545789868943361/9007199254740992
85, n009-end, 687545789868943361/9007199254740992
71, n004-init, 693442618609354999/9007199254740992
70, n002-end, 86838895677140109/1125899906842624
83, n004-init, 697036359707277051/9007199254740992
95, n011-end, 699328932999215235/9007199254740992
85, n020-init, 700527896230998791/9007199254740992
85, n021-init, 350316919036788679/4503599627370496
88, n017-end, 702398055087572459/9007199254740992
91, n007-end, 351416562812122763/4503599627370496
81, n004-init, 707332470426724589/9007199254740992
69, initial, 44365636621039513/562949953421312
85, n020-end, 710422693402242287/9007199254740992
99, n027-init, 710537688940842683/9007199254740992
90, n028-end, 355523467595076627/4503599627370496
88, n009-init, 711846370441457627/9007199254740992
70, n004-init, 356958179491800031/4503599627370496
80, n004-init, 89371430497783119/1125899906842624
91, n014-init, 178910177611926171/2251799813685248
95, final, 178910177611926171/2251799813685248
69, n002-init, 44799445359262891/562949953421312
88, n020-init, 359677324667675985/4503599627370496
75, n004-end, 719362324382991367/9007199254740992
68, initial, 45132620613898215/562949953421312
91, n014-end, 181294259717894819/2251799813685248
90, final, 362637521196341427/4503599627370496
88, n020-end, 726276913014590321/9007199254740992
69, n002-end, 182023820026506417/2251799813685248
68, n002-init, 182847834080825883/2251799813685248
68, n002-end, 734227735942907827/9007199254740992
76, n004-end, 734347788320060087/9007199254740992
67, initial, 1439200206394803/17592186044416
82, n004-end, 368983007087950003/4503599627370496
88, n009-end, 744327834258121115/9007199254740992
67, n002-init, 744833211680583215/9007199254740992
91, n017-init, 746194865469686421/9007199254740992
69, n004-init, 186805584864435835/2251799813685248
75, n004-init, 747290474047810947/9007199254740992
94, n004-end, 748317537567404649/9007199254740992
76, final, 749760581807784361/9007199254740992
66, initial, 46880782454145861/562949953421312
68, n004-init, 751409473189422039/9007199254740992
67, n002-end, 94139294746430119/1125899906842624
66, n002-init, 379078014148912667/4503599627370496
89, n004-end, 759753223563180105/9007199254740992
82, n004-init, 382146816057198565/4503599627370496
67, n004-init, 764682847594238911/9007199254740992
66, n002-end, 384178405702856829/4503599627370496
91, n017-end, 771188343688526469/9007199254740992
89, n007-init, 775741119848506739/9007199254740992
94, n004-init, 776314561853529853/9007199254740992
74, n004-end, 777429083926092661/9007199254740992
68, n004-end, 779175245756071715/9007199254740992
91, n009-init, 780596178142938163/9007199254740992
77, n004-end, 781082861661152337/9007199254740992
97, n004-end, 783432169346431737/9007199254740992
81, n004-end, 784364560469060877/9007199254740992
99, n027-end, 787068258128675003/9007199254740992
69, n004-end, 197230787497850701/2251799813685248
66, n004-init, 394707612831865551/4503599627370496
91, n020-init, 395204905459775665/4503599627370496
91, n020-end, 397117071353921717/4503599627370496
77, n007-init, 800479999984997807/9007199254740992
74, n004-init, 400249679274856343/4503599627370496
97, final, 802143216033225783/9007199254740992
99, final, 805723519340706759/9007199254740992
78, n004-end, 806136355587860387/9007199254740992
83, n004-end, 808767423870607355/9007199254740992
85, n021-end, 404398011572039583/4503599627370496
88, n021-init, 404398011572039583/4503599627370496
65, initial, 50562665584539547/562949953421312
68, n004-init, 809914073631739437/9007199254740992
81, n004-init, 406370685549294803/4503599627370496
87, n004-end, 816276432515197097/9007199254740992
69, n004-init, 408354586889476087/4503599627370496
65, n002-init, 204528487464813933/2251799813685248
64, initial, 6447889272660099/70368744177664
83, n007-init, 831357474209035359/9007199254740992
89, n007-end, 831780779764259107/9007199254740992
87, n007-init, 415970796932631419/4503599627370496
65, n002-end, 415990926889752117/4503599627370496
83, n007-end, 833741381757339807/9007199254740992
64, n002-init, 417227197620899617/4503599627370496
78, n004-init, 834704727126171039/9007199254740992
77, n007-end, 835300639351393263/9007199254740992
63, initial, 26211826240253927/281474976710656
91, n009-end, 839697795978165179/9007199254740992
89, n014-init, 419984183426644025/4503599627370496
85, n027-init, 420019910410662869/4503599627370496
73, n004-end, 26299808070726883/281474976710656
64, n002-end, 210679708457184589/2251799813685248
70, n004-end, 423033011640743903/4503599627370496
87, n007-end, 423381760046672531/4503599627370496
63, n002-init, 423741243520893679/4503599627370496
63, n002-end, 423741243520893679/4503599627370496
65, n004-init, 848315953678382023/9007199254740992
89, n014-end, 425176483285248361/4503599627370496
83, n014-init, 425176483285248361/4503599627370496
88, n021-end, 426775553739881375/4503599627370496
91, n021-init, 426775553739881375/4503599627370496
82, n004-end, 426934844135420501/4503599627370496
83, n014-end, 429311495783910963/4503599627370496
77, n014-init, 429311495783910963/4503599627370496
86, n004-end, 860864127050885707/9007199254740992
64, n004-init, 430710718440154289/4503599627370496
73, n004-init, 431142408041268117/4503599627370496
72, n004-end, 431572655529295359/4503599627370496
66, n004-end, 432019845672637567/4503599627370496
62, initial, 13541203794835291/140737488355328
77, n014-end, 433730013308309757/4503599627370496
87, n014-init, 433730013308309757/4503599627370496
63, n004-init, 435012084475565815/4503599627370496
82, n007-init, 872781198539555529/9007199254740992
82, n007-end, 872781198539555529/9007199254740992
70, n004-init, 437079004440341451/4503599627370496
62, n002-init, 875408878926723603/9007199254740992
62, n002-end, 875793446108669129/9007199254740992
87, n014-end, 54784024472213837/562949953421312
89, n017-init, 54784024472213837/562949953421312
88, n028-init, 110166206061441425/1125899906842624
72, n007-init, 883863633095578169/9007199254740992
91, n021-end, 441977711761789231/4503599627370496
66, n007-init, 442298860343362315/4503599627370496
86, n004-init, 445039340891882221/4503599627370496
89, n017-end, 445672573419369517/4503599627370496
83, n017-init, 445672573419369517/4503599627370496
61, initial, 13944076606289023/140737488355328
62, n004-init, 446617514543789577/4503599627370496
89, n009-init, 28121801042649587/281474976710656
61, n002-init, 901220523391253545/9007199254740992
67, n004-end, 901514003704778287/9007199254740992
69, n004-end, 451628729952957431/4503599627370496
83, n017-end, 452150647516934905/4503599627370496
82, n014-init, 452150647516934905/4503599627370496
89, n009-end, 56541505169037191/562949953421312
75, n004-end, 905851048000450243/9007199254740992
61, n002-end, 906579015492428369/9007199254740992
89, n021-init, 226652901154925045/2251799813685248
89, n020-init, 454402311006556255/4503599627370496
89, n020-end, 910744341292045029/9007199254740992
83, n009-init, 228394819167691919/2251799813685248
60, initial, 57102228662068847/562949953421312
82, n014-end, 228682228986255161/2251799813685248
77, n017-init, 228682228986255161/2251799813685248
66, n007-end, 459907566910181893/4503599627370496
72, n007-end, 921308510501384713/9007199254740992
83, n020-init, 461192230462930635/4503599627370496
83, n020-end, 461192230462930635/4503599627370496
60, n002-init, 922399703558430699/9007199254740992
61, n004-init, 923691849856391731/9007199254740992
75, final, 462903924818008487/4503599627370496
69, n004-init, 463886129238402263/4503599627370496
67, n004-init, 928978668473248921/9007199254740992
77, n017-end, 232277780586012795/2251799813685248
87, n017-init, 232277780586012795/2251799813685248
77, n009-init, 936630452566294817/9007199254740992
83, n021-init, 234319695479430295/2251799813685248
83, n021-end, 234319695479430295/2251799813685248
94, n004-end, 937358150424723581/9007199254740992
60, n002-end, 938028833023802563/9007199254740992
77, n021-init, 58989655214511819/562949953421312
77, n009-end, 944098056842494141/9007199254740992
77, n020-init, 945429220778472883/9007199254740992
59, initial, 59315874967565115/562949953421312
87, n017-end, 238484179322407145/2251799813685248
66, n014-init, 238484179322407145/2251799813685248
59, n002-init, 479435552276730865/4503599627370496
87, n009-init, 240100185847302885/2251799813685248
60, n004-init, 960742957070657339/9007199254740992
80, n004-end, 120155312872713271/1125899906842624
71, n004-end, 962911989505359287/9007199254740992
89, n021-end, 240904449676753817/2251799813685248
66, n014-end, 240924698313638163/2251799813685248
72, n014-init, 240924698313638163/2251799813685248
67, n004-end, 963870036370324197/9007199254740992
94, n004-init, 482998198023406059/4503599627370496
83, n009-end, 242130822056775475/2251799813685248
77, n020-end, 968787149505763215/9007199254740992
87, n021-init, 485308504203645005/4503599627370496
81, n004-end, 485440609387019971/4503599627370496
59, n002-end, 242922098109006705/2251799813685248
87, n020-init, 972451732527706597/9007199254740992
85, n027-end, 486683543174889165/4503599627370496
83, n027-init, 486683543174889165/4503599627370496
72, n014-end, 486924745764424119/4503599627370496
82, n017-init, 486924745764424119/4503599627370496
80, final, 978272890807658891/9007199254740992
67, final, 979347147547088545/9007199254740992
59, n004-init, 495384466876917329/4503599627370496
71, n004-init, 991451031307543477/9007199254740992
87, n009-end, 247892931339967989/2251799813685248
85, final, 15529689569021965/140737488355328
87, n020-end, 994422645974988189/9007199254740992
81, n004-init, 499282599224134973/4503599627370496
62, n004-end, 501815478052689601/4503599627370496
82, n017-end, 507343893766898015/4503599627370496
66, n016-init, 507343893766898015/4503599627370496
87, n021-end, 509246615533284297/4503599627370496
82, n009-init, 63871171945939601/562949953421312
66, n016-end, 512229749583220653/4503599627370496
72, n016-init, 512229749583220653/4503599627370496
58, initial, 64122001614760593/562949953421312
82, n021-init, 1028827131733084443/9007199254740992
82, n020-init, 1030617324022978281/9007199254740992
72, n016-end, 515744313367930389/4503599627370496
62, n004-init, 129092141589267183/1125899906842624
58, n002-init, 259068494592943351/2251799813685248
71, n004-end, 1036763278382391341/9007199254740992
77, n021-end, 64907582657356941/562949953421312
66, n011-init, 1040773205914294181/9007199254740992
58, n002-end, 1041941992195024541/9007199254740992
82, n020-end, 1042566948052012217/9007199254740992
83, n027-end, 522134078001698765/4503599627370496
87, n027-init, 522611197871758345/4503599627370496
68, n004-end, 1045552674342914189/9007199254740992
70, n004-end, 523730513070763483/4503599627370496
72, n011-init, 524003049853638347/4503599627370496
74, n004-end, 527959695060082263/4503599627370496
82, n009-end, 16558159091201523/140737488355328
61, n004-end, 1060114439408736067/9007199254740992
57, initial, 66273081830018401/562949953421312
82, n021-end, 1061311012453322419/9007199254740992
58, n004-init, 1062531912378548553/9007199254740992
68, final, 1063745539113662789/9007199254740992
71, n004-init, 1064304959237242115/9007199254740992
83, final, 1065759293420728677/9007199254740992
57, n002-init, 533584532784987687/4503599627370496
56, initial, 4185819888109975/35184372088832
64, n004-end, 536625653900713233/4503599627370496
70, n004-init, 537048006618543231/4503599627370496
74, n007-init, 538513569417644311/4503599627370496
56, n002-init, 1079111031006009019/9007199254740992
55, initial, 67550134820968847/562949953421312
61, n004-init, 1082259222588637653/9007199254740992
78, n004-end, 1082396041304099807/9007199254740992
57, n002-end, 541389237596971285/4503599627370496
65, n004-end, 1083939962726764103/9007199254740992
86, n004-end, 542191982845436589/4503599627370496
54, initial, 33944574520274057/281474976710656
55, n002-init, 544419367771624567/4503599627370496
56, n002-end, 1089495184532470657/9007199254740992
72, n011-end, 546685654556871219/4503599627370496
81, n004-end, 546936673069219221/4503599627370496
54, n002-init, 548305158880597043/4503599627370496
64, n004-init, 68680267223907161/562949953421312
73, n004-end, 549782489428943765/4503599627370496
55, n002-end, 550139080295803871/4503599627370496
86, n007-init, 137676117352242771/1125899906842624
86, n007-end, 137676117352242771/1125899906842624
57, n004-init, 551411468184538895/4503599627370496
65, final, 1102996582616205707/9007199254740992
56, n004-init, 1104366718316247679/9007199254740992
69, n004-end, 552462521385558727/4503599627370496
53, initial, 34553548555572495/281474976710656
86, n014-init, 553833077310806605/4503599627370496
54, n002-end, 553851993884085665/4503599627370496
81, n007-init, 1107737341400333319/9007199254740992
78, n004-init, 1109310806501662021/9007199254740992
74, n007-end, 554941933181552737/4503599627370496
66, n011-end, 1110315089200372957/9007199254740992
72, final, 555410525601544469/4503599627370496
53, n002-init, 557448945108007863/4503599627370496
